,Opp_at_bats
1304,UNKNOWN
1305,UNKNOWN
1306,UNKNOWN
1307,UNKNOWN
1308,UNKNOWN
1309,UNKNOWN
1310,UNKNOWN
1311,UNKNOWN
1312,UNKNOWN
1313,UNKNOWN
1314,UNKNOWN
1315,UNKNOWN
1316,UNKNOWN
1317,UNKNOWN
1318,UNKNOWN
1319,UNKNOWN
1322,UNKNOWN
1323,UNKNOWN
1324,UNKNOWN
1325,UNKNOWN
1326,UNKNOWN
1327,UNKNOWN
1328,UNKNOWN
1329,UNKNOWN
1330,UNKNOWN
1331,UNKNOWN
1332,UNKNOWN
1333,UNKNOWN
1334,UNKNOWN
1335,UNKNOWN
1336,UNKNOWN
1337,UNKNOWN
1338,UNKNOWN
1339,UNKNOWN
1340,UNKNOWN
1341,UNKNOWN
1342,UNKNOWN
1343,UNKNOWN
1344,UNKNOWN
1345,UNKNOWN
1346,UNKNOWN
1347,UNKNOWN
1348,UNKNOWN
1349,UNKNOWN
1350,UNKNOWN
1351,UNKNOWN
1352,UNKNOWN
1353,UNKNOWN
1354,UNKNOWN
1355,UNKNOWN
1356,UNKNOWN
1357,UNKNOWN
1358,UNKNOWN
1359,UNKNOWN
1360,UNKNOWN
1361,UNKNOWN
1362,UNKNOWN
1363,UNKNOWN
1364,UNKNOWN
1365,UNKNOWN
1366,UNKNOWN
1367,UNKNOWN
1370,UNKNOWN
1371,UNKNOWN
1372,UNKNOWN
1373,UNKNOWN
1374,UNKNOWN
1375,UNKNOWN
1376,UNKNOWN
1377,UNKNOWN
1378,UNKNOWN
1379,UNKNOWN
1380,UNKNOWN
1381,UNKNOWN
1382,UNKNOWN
1383,UNKNOWN
1384,UNKNOWN
1385,UNKNOWN
1386,UNKNOWN
1387,UNKNOWN
1388,UNKNOWN
1389,UNKNOWN
1390,UNKNOWN
1391,UNKNOWN
1392,UNKNOWN
1395,UNKNOWN
1396,UNKNOWN
1397,UNKNOWN
